Company,Company response to consumer,Complaint ID,Consumer consent provided?,Consumer disputed?,Date Received,Date Submitted,Issue,Product,State,Sub-issue,Sub-product,Submitted via,Timely response?,ZIP code,Bottom of Gauge,complaints,Top of Gauge
Cumulus Financial,Closed with explanation,974159,N/A,No,07-08-2014,07-08-2014,Other,Credit card,PA,Unknown,Unknown,Web,Yes,19131,0,1,1
Cumulus Financial,Closed with explanation,1063635,N/A,No,08-10-2014,08-10-2014,Other,Credit card,PA,Unknown,Unknown,Web,Yes,173XX,0,1,1
Cumulus Financial,Closed with explanation,1231645,N/A,No,13-02-2015,09-02-2015,Other,Credit card,PA,Unknown,Unknown,Web,Yes,19144,0,1,1
Cumulus Financial,Closed with explanation,1266493,N/A,No,04-03-2015,04-03-2015,Other,Credit card,PA,Unknown,Unknown,Web,Yes,183XX,0,1,1
Cumulus Financial,Closed with explanation,1272531,N/A,No,13-03-2015,08-03-2015,Other fee,Credit card,PA,Unknown,Unknown,Web,Yes,190XX,0,1,1
Cumulus Financial,Closed with explanation,138720,N/A,No,22-08-2012,21-08-2012,Payoff process,Credit card,PA,Unknown,Unknown,Web,Yes,19348,0,1,1
Cumulus Financial,Closed with explanation,1009480,N/A,No,05-09-2014,02-09-2014,Payoff process,Credit card,PA,Unknown,Unknown,Web,Yes,19139,0,1,1
Cumulus Financial,Closed with explanation,1092426,N/A,No,29-10-2014,29-10-2014,Payoff process,Credit card,PA,Unknown,Unknown,Web,Yes,19446,0,1,1
Cumulus Financial,Closed with explanation,1118490,N/A,No,19-11-2014,15-11-2014,Payoff process,Credit card,PA,Unknown,Unknown,Web,Yes,170XX,0,1,1
Cumulus Financial,Closed with explanation,1125725,N/A,No,01-12-2014,23-11-2014,Payoff process,Credit card,PA,Unknown,Unknown,Web,Yes,19027,0,1,1
Cumulus Financial,Closed with explanation,436461,N/A,No,19-06-2013,19-06-2013,Privacy,Credit card,PA,Unknown,Unknown,Web,Yes,190XX,0,1,1
Cumulus Financial,Closed with explanation,1001353,N/A,No,26-08-2014,26-08-2014,Privacy,Credit card,PA,Unknown,Unknown,Web,Yes,19131,0,1,1
Cumulus Financial,Closed with explanation,521385,N/A,No,14-09-2013,10-09-2013,Rewards,Credit card,PA,Unknown,Unknown,Web,Yes,19406,0,1,1
Cumulus Financial,Closed with explanation,724483,N/A,No,27-02-2014,20-02-2014,Rewards,Credit card,PA,Unknown,Unknown,Web,Yes,19147,0,1,1
Cumulus Financial,Closed with explanation,1070613,N/A,No,14-10-2014,14-10-2014,Rewards,Credit card,PA,Unknown,Unknown,Web,Yes,152XX,0,1,1
Cumulus Financial,Closed with explanation,865349,N/A,No,22-05-2014,22-05-2014,Sale of account,Credit card,PA,Unknown,Unknown,Web,Yes,166XX,0,1,1
Cumulus Financial,Closed with explanation,103563,N/A,No,26-06-2012,18-06-2012,Transaction issue,Credit card,PA,Unknown,Unknown,Web,Yes,15401,0,1,1
Cumulus Financial,Closed with explanation,564119,N/A,No,20-10-2013,20-10-2013,Transaction issue,Credit card,PA,Unknown,Unknown,Web,Yes,19026,0,1,1
Cumulus Financial,Closed with explanation,720148,N/A,No,18-02-2014,19-02-2014,Transaction issue,Credit card,PA,Unknown,Unknown,Web,Yes,15317,0,1,1
Cumulus Financial,Closed with explanation,939323,N/A,No,21-07-2014,16-07-2014,Transaction issue,Credit card,PA,Unknown,Unknown,Web,Yes,172XX,0,1,1
Cumulus Financial,Closed with explanation,387310,N/A,No,21-04-2013,21-04-2013,Unsolicited issuance of credit card,Credit card,PA,Unknown,Unknown,Web,Yes,175XX,0,1,1
Cumulus Financial,Closed with explanation,629450,N/A,No,10-12-2013,11-12-2013,Unsolicited issuance of credit card,Credit card,PA,Unknown,Unknown,Web,Yes,19130,0,1,1
Cumulus Financial,Closed with explanation,671362,N/A,No,15-01-2014,15-01-2014,Unsolicited issuance of credit card,Credit card,PA,Unknown,Unknown,Web,Yes,17402,0,1,1
Cumulus Financial,Closed with explanation,710336,N/A,No,04-02-2014,04-02-2014,Unsolicited issuance of credit card,Credit card,PA,Unknown,Unknown,Web,Yes,19082,0,1,1
Cumulus Financial,Closed with explanation,830533,N/A,No,29-04-2014,29-04-2014,Unsolicited issuance of credit card,Credit card,PA,Unknown,Unknown,Web,Yes,18017,0,1,1
Cumulus Financial,Closed with explanation,1027722,N/A,No,17-09-2014,13-09-2014,Unsolicited issuance of credit card,Credit card,PA,Unknown,Unknown,Web,Yes,190XX,0,1,1
Cumulus Financial,Closed with explanation,1144467,N/A,No,05-12-2014,05-12-2014,Unsolicited issuance of credit card,Credit card,PA,Unknown,Unknown,Web,Yes,190XX,0,1,1
Cumulus Financial,Closed with explanation,1225951,N/A,No,05-02-2015,05-02-2015,Unsolicited issuance of credit card,Credit card,PA,Unknown,Unknown,Web,Yes,159XX,0,1,1
Cumulus Financial,Closed with explanation,316700,N/A,No,14-02-2013,14-02-2013,APR or interest rate,Credit card,RI,Unknown,Unknown,Web,Yes,2920,0,1,1
Cumulus Financial,Closed with explanation,727041,N/A,No,23-02-2014,23-02-2014,Billing statement,Credit card,RI,Unknown,Unknown,Web,Yes,2888,0,1,1
Cumulus Financial,Closed with explanation,605348,N/A,No,19-11-2013,20-11-2013,Closing/Cancelling account,Credit card,RI,Unknown,Unknown,Web,Yes,2906,0,1,1
Cumulus Financial,Closed with explanation,963361,N/A,No,31-07-2014,31-07-2014,Credit line increase/decrease,Credit card,RI,Unknown,Unknown,Web,Yes,2919,0,1,1
Cumulus Financial,Closed with explanation,1064727,N/A,No,16-10-2014,09-10-2014,Identity theft / Fraud / Embezzlement,Credit card,RI,Unknown,Unknown,Web,Yes,2940,0,1,1
Cumulus Financial,Closed with explanation,122464,N/A,No,24-07-2012,23-07-2012,Transaction issue,Credit card,RI,Unknown,Unknown,Web,Yes,2860,0,1,1
Cumulus Financial,Closed with explanation,200282,N/A,No,29-11-2012,29-11-2012,Transaction issue,Credit card,RI,Unknown,Unknown,Web,Yes,2893,0,1,1
Cumulus Financial,Closed with explanation,455141,N/A,No,15-07-2013,15-07-2013,APR or interest rate,Credit card,SC,Unknown,Unknown,Web,Yes,29578,0,1,1
Cumulus Financial,Closed with explanation,387246,N/A,No,20-04-2013,20-04-2013,Billing disputes,Credit card,SC,Unknown,Unknown,Web,Yes,29406,0,1,1
Cumulus Financial,Closed with explanation,394715,N/A,No,30-04-2013,30-04-2013,Billing disputes,Credit card,SC,Unknown,Unknown,Web,Yes,29732,0,1,1
Cumulus Financial,Closed with explanation,692148,N/A,No,30-01-2014,30-01-2014,Billing disputes,Credit card,SC,Unknown,Unknown,Web,Yes,29483,0,1,1
Cumulus Financial,Closed with explanation,805840,N/A,No,11-04-2014,11-04-2014,Billing disputes,Credit card,SC,Unknown,Unknown,Web,Yes,29203,0,1,1
Cumulus Financial,Closed with explanation,171000,N/A,No,15-10-2012,12-10-2012,Billing statement,Credit card,SC,Unknown,Unknown,Web,Yes,290XX,0,1,1
Cumulus Financial,Closed with explanation,195484,N/A,No,23-11-2012,21-11-2012,Billing statement,Credit card,SC,Unknown,Unknown,Web,Yes,29201,0,1,1
Cumulus Financial,Closed with explanation,655042,N/A,No,05-01-2014,05-01-2014,Billing statement,Credit card,SC,Unknown,Unknown,Web,Yes,296XX,0,1,1
Cumulus Financial,Closed with explanation,1001238,N/A,No,26-08-2014,26-08-2014,Cash advance fee,Credit card,SC,Unknown,Unknown,Web,Yes,29730,0,1,1
Cumulus Financial,Closed with explanation,773703,N/A,No,25-03-2014,23-03-2014,Closing/Cancelling account,Credit card,SC,Unknown,Unknown,Web,Yes,29605,0,1,1
Cumulus Financial,Closed with explanation,237309,N/A,No,16-01-2013,16-01-2013,Collection practices,Credit card,SC,Unknown,Unknown,Web,Yes,293XX,0,1,1
Cumulus Financial,Closed with explanation,1167520,N/A,No,22-12-2014,22-12-2014,Credit card protection / Debt protection,Credit card,SC,Unknown,Unknown,Web,Yes,295XX,0,1,1
Cumulus Financial,Closed with explanation,104411,N/A,No,21-06-2012,19-06-2012,Credit determination,Credit card,SC,Unknown,Unknown,Web,Yes,29485,0,1,1
Cumulus Financial,Closed with explanation,249408,N/A,No,22-01-2013,21-01-2013,Customer service / Customer relations,Credit card,SC,Unknown,Unknown,Web,Yes,29615,0,1,1
Cumulus Financial,Closed with explanation,999897,N/A,No,28-08-2014,25-08-2014,Customer service / Customer relations,Credit card,SC,Unknown,Unknown,Web,Yes,29651,0,1,1
Cumulus Financial,Closed with explanation,118206,N/A,No,17-07-2012,16-07-2012,Delinquent account,Credit card,SC,Unknown,Unknown,Web,Yes,29501,0,1,1
Cumulus Financial,Closed with explanation,732411,N/A,No,27-02-2014,26-02-2014,Delinquent account,Credit card,SC,Unknown,Unknown,Web,Yes,296XX,0,1,1
Cumulus Financial,Closed with explanation,1242925,N/A,No,17-02-2015,17-02-2015,Delinquent account,Credit card,SC,Unknown,Unknown,Web,Yes,29204,0,1,1
Cumulus Financial,Closed with explanation,334807,N/A,No,27-02-2013,27-02-2013,Identity theft / Fraud / Embezzlement,Credit card,SC,Unknown,Unknown,Web,Yes,296XX,0,1,1
Cumulus Financial,Closed with explanation,549198,N/A,No,30-09-2013,01-10-2013,Identity theft / Fraud / Embezzlement,Credit card,SC,Unknown,Unknown,Web,Yes,29445,0,1,1
Cumulus Financial,Closed with explanation,1097539,N/A,No,02-11-2014,02-11-2014,Identity theft / Fraud / Embezzlement,Credit card,SC,Unknown,Unknown,Web,Yes,29073,0,1,1
Cumulus Financial,Closed with explanation,1179877,N/A,No,09-01-2015,04-01-2015,Identity theft / Fraud / Embezzlement,Credit card,SC,Unknown,Unknown,Web,Yes,29073,0,1,1
Cumulus Financial,Closed with explanation,467938,N/A,No,15-07-2013,15-07-2013,Other,Credit card,SC,Unknown,Unknown,Web,Yes,29115,0,1,1
Cumulus Financial,Closed with explanation,527632,N/A,No,15-09-2013,13-09-2013,Other,Credit card,SC,Unknown,Unknown,Web,Yes,298XX,0,1,1
Cumulus Financial,Closed with explanation,720505,N/A,No,19-02-2014,19-02-2014,Other,Credit card,SC,Unknown,Unknown,Web,Yes,293XX,0,1,1
Cumulus Financial,Closed with explanation,148714,N/A,No,10-09-2012,07-09-2012,Other fee,Credit card,SC,Unknown,Unknown,Web,Yes,29485,0,1,1
Cumulus Financial,Closed with explanation,917009,N/A,No,30-06-2014,30-06-2014,Payoff process,Credit card,SC,Unknown,Unknown,Web,Yes,296XX,0,1,1
Cumulus Financial,Closed with explanation,795690,N/A,No,09-04-2014,06-04-2014,Transaction issue,Credit card,SC,Unknown,Unknown,Web,Yes,29020,0,1,1
Cumulus Financial,Closed with explanation,1042240,N/A,No,24-09-2014,24-09-2014,Transaction issue,Credit card,SC,Unknown,Unknown,Web,Yes,29607,0,1,1
Cumulus Financial,Closed with explanation,124028,N/A,No,26-07-2012,24-07-2012,APR or interest rate,Credit card,SD,Unknown,Unknown,Web,Yes,570XX,0,1,1
Cumulus Financial,Closed with explanation,610234,N/A,No,22-11-2013,22-11-2013,APR or interest rate,Credit card,SD,Unknown,Unknown,Web,Yes,570XX,0,1,1
Cumulus Financial,Closed with explanation,616981,N/A,No,30-11-2013,01-12-2013,Closing/Cancelling account,Credit card,SD,Unknown,Unknown,Web,Yes,57106,0,1,1
Cumulus Financial,Closed with explanation,438186,N/A,No,20-06-2013,20-06-2013,Identity theft / Fraud / Embezzlement,Credit card,SD,Unknown,Unknown,Web,Yes,57106,0,1,1
Cumulus Financial,Closed with explanation,309227,N/A,No,08-02-2013,08-02-2013,Payoff process,Credit card,SD,Unknown,Unknown,Web,Yes,57006,0,1,1
Cumulus Financial,Closed with explanation,679296,N/A,No,23-01-2014,22-01-2014,Sale of account,Credit card,SD,Unknown,Unknown,Web,Yes,57005,0,1,1
Cumulus Financial,Closed with explanation,268683,N/A,No,29-01-2013,29-01-2013,Advertising and marketing,Credit card,TN,Unknown,Unknown,Web,Yes,371XX,0,1,1
Cumulus Financial,Closed with explanation,407597,N/A,No,20-05-2013,15-05-2013,Advertising and marketing,Credit card,TN,Unknown,Unknown,Web,Yes,37122,0,1,1
Cumulus Financial,Closed with explanation,461951,N/A,No,19-07-2013,19-07-2013,Advertising and marketing,Credit card,TN,Unknown,Unknown,Web,Yes,371XX,0,1,1
Cumulus Financial,Closed with explanation,637118,N/A,No,23-12-2013,17-12-2013,Billing disputes,Credit card,TN,Unknown,Unknown,Web,Yes,37167,0,1,1
Cumulus Financial,Closed with explanation,644658,N/A,No,23-12-2013,24-12-2013,Billing disputes,Credit card,TN,Unknown,Unknown,Web,Yes,37803,0,1,1
Cumulus Financial,Closed with explanation,888366,N/A,No,10-06-2014,10-06-2014,Billing disputes,Credit card,TN,Unknown,Unknown,Web,Yes,38125,0,1,1
Cumulus Financial,Closed with explanation,1060142,N/A,No,10-10-2014,06-10-2014,Billing disputes,Credit card,TN,Unknown,Unknown,Web,Yes,37043,0,1,1
Cumulus Financial,Closed with explanation,1286196,N/A,No,17-03-2015,17-03-2015,Billing disputes,Credit card,TN,Unknown,Unknown,Web,Yes,38128,0,1,1
Cumulus Financial,Closed with explanation,384890,N/A,No,17-04-2013,17-04-2013,Closing/Cancelling account,Credit card,TN,Unknown,Unknown,Web,Yes,37830,0,1,1
Cumulus Financial,Closed with explanation,1080682,N/A,No,21-10-2014,21-10-2014,Closing/Cancelling account,Credit card,TN,Unknown,Unknown,Web,Yes,379XX,0,1,1
Cumulus Financial,Closed with explanation,1220276,N/A,No,02-02-2015,02-02-2015,Closing/Cancelling account,Credit card,TN,Unknown,Unknown,Web,Yes,37206,0,1,1
Cumulus Financial,Closed with explanation,1283529,N/A,No,25-03-2015,15-03-2015,Closing/Cancelling account,Credit card,TN,Unknown,Unknown,Web,Yes,38111,0,1,1
Cumulus Financial,Closed with explanation,439363,N/A,No,21-06-2013,21-06-2013,Credit card protection / Debt protection,Credit card,TN,Unknown,Unknown,Web,Yes,37221,0,1,1
Cumulus Financial,Closed with explanation,206010,N/A,No,07-12-2012,08-12-2012,Credit line increase/decrease,Credit card,TN,Unknown,Unknown,Web,Yes,381XX,0,1,1
Cumulus Financial,Closed with explanation,759473,N/A,No,15-03-2014,15-03-2014,Credit line increase/decrease,Credit card,TN,Unknown,Unknown,Web,Yes,38018,0,1,1
Cumulus Financial,Closed with explanation,712270,N/A,No,13-02-2014,13-02-2014,Customer service / Customer relations,Credit card,TN,Unknown,Unknown,Web,Yes,370XX,0,1,1
Cumulus Financial,Closed with explanation,699437,N/A,No,04-02-2014,04-02-2014,Identity theft / Fraud / Embezzlement,Credit card,TN,Unknown,Unknown,Web,Yes,38301,0,1,1
Cumulus Financial,Closed with explanation,1061949,N/A,No,07-10-2014,07-10-2014,Identity theft / Fraud / Embezzlement,Credit card,TN,Unknown,Unknown,Web,Yes,37229,0,1,1
Cumulus Financial,Closed with explanation,355103,N/A,No,14-03-2013,14-03-2013,Other,Credit card,TN,Unknown,Unknown,Web,Yes,383XX,0,1,1
Cumulus Financial,Closed with explanation,589516,N/A,No,06-11-2013,07-11-2013,Other,Credit card,TN,Unknown,Unknown,Web,Yes,37064,0,1,1
Cumulus Financial,Closed with explanation,800239,N/A,No,11-04-2014,09-04-2014,Other,Credit card,TN,Unknown,Unknown,Web,Yes,37922,0,1,1
Cumulus Financial,Closed with explanation,826936,N/A,No,26-04-2014,26-04-2014,Other,Credit card,TN,Unknown,Unknown,Web,Yes,37659,0,1,1
Cumulus Financial,Closed with explanation,387274,N/A,No,23-04-2013,21-04-2013,Other fee,Credit card,TN,Unknown,Unknown,Web,Yes,372XX,0,1,1
Cumulus Financial,Closed with explanation,951623,N/A,No,24-07-2014,24-07-2014,Transaction issue,Credit card,TN,Unknown,Unknown,Web,Yes,37388,0,1,1
Cumulus Financial,Closed with explanation,1149364,N/A,No,09-12-2014,09-12-2014,Transaction issue,Credit card,TN,Unknown,Unknown,Web,Yes,379XX,0,1,1
Cumulus Financial,Closed with explanation,105044,N/A,No,26-06-2012,20-06-2012,Unsolicited issuance of credit card,Credit card,TN,Unknown,Unknown,Web,Yes,377XX,0,1,1
Cumulus Financial,Closed with explanation,401630,N/A,No,08-05-2013,08-05-2013,Unsolicited issuance of credit card,Credit card,TN,Unknown,Unknown,Web,Yes,381XX,0,1,1
Cumulus Financial,Closed with explanation,99831,N/A,No,14-06-2012,12-06-2012,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,76105,0,1,1
Cumulus Financial,Closed with explanation,130227,N/A,No,07-08-2012,06-08-2012,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,77491,0,1,1
Cumulus Financial,Closed with explanation,150552,N/A,No,12-09-2012,11-09-2012,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,793XX,0,1,1
Cumulus Financial,Closed with explanation,164965,N/A,No,04-10-2012,03-10-2012,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,775XX,0,1,1
Cumulus Financial,Closed with explanation,184161,N/A,No,05-11-2012,02-11-2012,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,760XX,0,1,1
Cumulus Financial,Closed with explanation,392210,N/A,No,26-04-2013,26-04-2013,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,78227,0,1,1
Cumulus Financial,Closed with explanation,473634,N/A,No,03-08-2013,03-08-2013,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,77449,0,1,1
Cumulus Financial,Closed with explanation,536552,N/A,No,20-09-2013,20-09-2013,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,797XX,0,1,1
Cumulus Financial,Closed with explanation,555415,N/A,No,08-10-2013,08-10-2013,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,75252,0,1,1
Cumulus Financial,Closed with explanation,568152,N/A,No,23-10-2013,23-10-2013,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,77338,0,1,1
Cumulus Financial,Closed with explanation,719877,N/A,No,12-02-2014,12-02-2014,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,750XX,0,1,1
Cumulus Financial,Closed with explanation,739643,N/A,No,02-03-2014,03-03-2014,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,77065,0,1,1
Cumulus Financial,Closed with explanation,759290,N/A,No,16-03-2014,16-03-2014,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,76016,0,1,1
Cumulus Financial,Closed with explanation,763701,N/A,No,21-03-2014,18-03-2014,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,78258,0,1,1
Cumulus Financial,Closed with explanation,770235,N/A,No,26-03-2014,20-03-2014,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,78717,0,1,1
Cumulus Financial,Closed with explanation,1098598,N/A,No,03-11-2014,03-11-2014,APR or interest rate,Credit card,TX,Unknown,Unknown,Web,Yes,78006,0,1,1
Cumulus Financial,Closed with explanation,87665,N/A,No,29-05-2012,25-05-2012,Advertising and marketing,Credit card,TX,Unknown,Unknown,Web,Yes,76262,0,1,1
Cumulus Financial,Closed with explanation,214405,N/A,No,21-12-2012,20-12-2012,Advertising and marketing,Credit card,TX,Unknown,Unknown,Web,Yes,786XX,0,1,1
Cumulus Financial,Closed with explanation,319625,N/A,No,20-02-2013,17-02-2013,Advertising and marketing,Credit card,TX,Unknown,Unknown,Web,Yes,75077,0,1,1
Cumulus Financial,Closed with explanation,1237649,N/A,No,19-02-2015,12-02-2015,Advertising and marketing,Credit card,TX,Unknown,Unknown,Web,Yes,75033,0,1,1
Cumulus Financial,Closed with explanation,1189550,N/A,No,11-01-2015,11-01-2015,Application processing delay,Credit card,TX,Unknown,Unknown,Web,Yes,77840,0,1,1
Cumulus Financial,Closed with explanation,1048142,N/A,No,02-10-2014,27-09-2014,Arbitration,Credit card,TX,Unknown,Unknown,Web,Yes,76244,0,1,1
Cumulus Financial,Closed with explanation,375710,N/A,No,08-04-2013,05-04-2013,Balance transfer,Credit card,TX,Unknown,Unknown,Web,Yes,75032,0,1,1
Cumulus Financial,Closed with explanation,576679,N/A,No,29-10-2013,29-10-2013,Balance transfer,Credit card,TX,Unknown,Unknown,Web,Yes,76013,0,1,1
Cumulus Financial,Closed with explanation,671193,N/A,No,15-01-2014,15-01-2014,Balance transfer,Credit card,TX,Unknown,Unknown,Web,Yes,782XX,0,1,1
Cumulus Financial,Closed with explanation,730568,N/A,No,25-02-2014,25-02-2014,Bankruptcy,Credit card,TX,Unknown,Unknown,Web,Yes,75023,0,1,1
Cumulus Financial,Closed with explanation,109885,N/A,No,03-07-2012,28-06-2012,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,77086,0,1,1
Cumulus Financial,Closed with explanation,136212,N/A,No,20-08-2012,15-08-2012,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,76131,0,1,1
Cumulus Financial,Closed with explanation,161322,N/A,No,28-09-2012,27-09-2012,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,78501,0,1,1
Cumulus Financial,Closed with explanation,346154,N/A,No,08-03-2013,08-03-2013,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,78664,0,1,1
Cumulus Financial,Closed with explanation,361472,N/A,No,22-03-2013,20-03-2013,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,77433,0,1,1
Cumulus Financial,Closed with explanation,391860,N/A,No,26-04-2013,25-04-2013,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,75663,0,1,1
Cumulus Financial,Closed with explanation,391861,N/A,No,26-04-2013,25-04-2013,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,75663,0,1,1
Cumulus Financial,Closed with explanation,391862,N/A,No,26-04-2013,25-04-2013,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,75663,0,1,1
Cumulus Financial,Closed with explanation,391863,N/A,No,26-04-2013,25-04-2013,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,75663,0,1,1
Cumulus Financial,Closed with explanation,391864,N/A,No,26-04-2013,25-04-2013,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,75663,0,1,1
Cumulus Financial,Closed with explanation,415504,N/A,No,23-05-2013,23-05-2013,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,770XX,0,1,1
Cumulus Financial,Closed with explanation,442261,N/A,No,26-06-2013,26-06-2013,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,77273,0,1,1
Cumulus Financial,Closed with explanation,450449,N/A,No,08-07-2013,06-07-2013,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,75206,0,1,1
Cumulus Financial,Closed with explanation,461055,N/A,No,19-07-2013,18-07-2013,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,780XX,0,1,1
Cumulus Financial,Closed with explanation,565337,N/A,No,21-10-2013,21-10-2013,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,76180,0,1,1
Cumulus Financial,Closed with explanation,633959,N/A,No,13-12-2013,14-12-2013,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,78665,0,1,1
Cumulus Financial,Closed with explanation,686542,N/A,No,26-01-2014,27-01-2014,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,787XX,0,1,1
Cumulus Financial,Closed with explanation,717639,N/A,No,17-02-2014,18-02-2014,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,77581,0,1,1
Cumulus Financial,Closed with explanation,741689,N/A,No,04-03-2014,04-03-2014,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,75002,0,1,1
Cumulus Financial,Closed with explanation,801422,N/A,No,09-04-2014,09-04-2014,Billing disputes,Credit card,TX,Unknown,Unknown,Web,Yes,784XX,0,1,1
